Molecular_Weight,Polar_Area,Complexity,XLogP,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,SMILES
-0.8373659069854803,-0.3504331655458578,-0.6097554146219544,-0.7,-0.16425825101620534,-0.47753987588675206,-0.5612264236382299,CC(C(=O)O)O
-0.7793567640142952,-0.34638015373692266,-0.5404408681472576,-1.1,-0.16425825101620534,-0.6019105985081347,-0.6511552367873044,C1CNC(=O)NC1=O
-0.8470018970127505,-0.48591956030168815,-0.5979652860034874,-1.3,-0.5734327250696595,-0.6019105985081347,-0.5612264236382299,CC(=O)C(=O)C
-0.6442114001230577,-0.08119738109516918,-0.5157196307214398,-2.5,0.04032898601052175,-0.10442770802260426,-0.29143998419100664,C(C(=O)COP(=O)(O)O)O
-0.8373659069854803,-0.3504331655458578,-0.6241127486654101,-1.4,-0.16425825101620534,-0.47753987588675206,-0.4712976104891555,C(C(=O)CO)O
-0.8058738493524972,-0.4488634523342816,-0.5992964295571853,-2.9,-0.3688454880429324,-0.47753987588675206,-0.4712976104891555,CN(C)CC(=O)O
-0.9460424862404068,-0.6138789331266391,-0.6632864018170905,-0.2,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CNC
-0.8662014260144542,-0.4731815231878922,-0.6383750010264588,-0.6,-0.5734327250696595,-0.6019105985081347,-0.6511552367873044,CS(=O)C
-0.6849771925191278,-0.29832301371669223,-0.5528014868601665,-1.0,0.04032898601052175,-0.47753987588675206,-0.4712976104891555,C1=CC(=C(C=C1CCN)O)O
-0.9074019247275441,-0.41528135448881937,-0.6564405206837871,-1.3,-0.16425825101620534,-0.6019105985081347,-0.5612264236382299,C(CO)N
-0.9436516014967984,-0.5664007947933994,-0.6632864018170905,-0.1,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CCO
0.047068245342056884,0.4862242721557445,0.1355898937664515,-2.6,0.654090697090703,0.3930551824629262,-0.02165354474378335,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
-0.9823984245538215,-0.584349847090112,-0.6640470552763464,1.2,-0.5734327250696595,-0.7262813211295173,-0.6511552367873044,C=O
-0.3526200628066171,-0.6833591355655265,-0.5670637392212152,3.8,-0.5734327250696595,-0.8506520437508999,-0.6511552367873044,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
-0.7019790395847875,-0.06961734735535462,-0.5271294326102788,-3.1,0.04032898601052175,-0.35316915326536946,-0.29143998419100664,C(CC(=O)N)C(C(=O)O)N
-0.735861981961379,-0.2514238770704433,-0.5670637392212152,-0.3,-0.16425825101620534,-0.35316915326536946,-0.29143998419100664,C(CC(=O)O)CC(=O)O
-0.8736155837547347,-0.31685106770039556,-0.625158647171887,-3.2,-0.16425825101620534,-0.47753987588675206,-0.5612264236382299,C(C(=O)O)N
-0.832511686445427,-0.33190511156215446,-0.6419881049579245,-1.8,0.04032898601052175,-0.47753987588675206,-0.4712976104891555,C(C(CO)O)O
-0.8712488493620718,-0.3504331655458578,-0.6277258525968757,-1.1,-0.16425825101620534,-0.47753987588675206,-0.5612264236382299,C(C(=O)O)O
-0.8761030699021252,-0.36838221784257036,-0.6127980284589781,-0.3,-0.3688454880429324,-0.47753987588675206,-0.5612264236382299,C(=O)C(=O)O
-0.7720875083796878,-0.09277741483498374,-0.5556539373323762,-1.6,0.04032898601052175,-0.47753987588675206,-0.4712976104891555,C(C(=O)O)N=C(N)N
-0.9051197165631907,-0.3504331655458578,-0.6409422064514476,-0.1,-0.16425825101620534,-0.47753987588675206,-0.6511552367873044,C(=O)(O)O
-0.9896459448725778,-0.5455567340617332,-0.6564405206837871,0.1,-0.5734327250696595,-0.7262813211295173,-0.6511552367873044,C#N
-0.9075540719385009,-0.3336421166231267,-0.6423684316875524,0.5,-0.3688454880429324,-0.47753987588675206,-0.6511552367873044,C(=O)(O)[O-]
-0.7864811175432291,-0.3666452127815982,-0.6044308404071628,-0.7,-0.16425825101620534,-0.6019105985081347,-0.4712976104891555,C1=C(NC=N1)CCN
-0.6488241171536556,-0.23289582308673998,-0.5062114624807407,0.5,0.04032898601052175,-0.35316915326536946,-0.4712976104891555,C1=CC(=C(C=C1O)CC(=O)O)O
-0.9122078445657064,-0.5397667171918259,-0.636188122331098,0.6,-0.3688454880429324,-0.6019105985081347,-0.6511552367873044,C(#N)S
-1.0500435575522769,-0.6833591355655265,-0.6659486889244863,0.0,-0.5734327250696595,-0.8506520437508999,-0.6511552367873044,[HH]
-0.972764849561646,-0.4488634523342816,-0.6659486889244863,-0.9,-0.16425825101620534,-0.6019105985081347,-0.6511552367873044,OO
-0.7889927540415652,-0.4488634523342816,-0.6137488452830481,0.6,-0.16425825101620534,-0.6019105985081347,-0.6511552367873044,C1=CC(=CC=C1O)O
-0.9751436591297815,-0.41528135448881937,-0.6640470552763464,-1.2,-0.16425825101620534,-0.6019105985081347,-0.6511552367873044,NO
-0.8904966790656667,-0.5171856513991875,-0.6392307361681216,-0.1,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,C1=CN=CN1
-0.7719909069759056,-0.5918768690209915,-0.569916189693425,2.1,-0.3688454880429324,-0.8506520437508999,-0.6511552367873044,C1=CC=C2C(=C1)C=CN2
-0.6318464204389416,-0.3759092397734498,-0.47103123999015384,1.4,-0.16425825101620534,-0.6019105985081347,-0.4712976104891555,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
-0.44195704102435585,-0.6833591355655265,-0.6659486889244863,1.7,-0.5734327250696595,-0.8506520437508999,-0.6511552367873044,II
-0.7382287163540419,-0.2803739614199797,-0.5470965859157471,-3.3,0.04032898601052175,-0.35316915326536946,-0.5612264236382299,C1C(CNC1C(=O)O)O
-0.5786914980078097,-0.08119738109516918,-0.46722797269387417,-2.7,0.24491622303724883,-0.22879843064398686,-0.38136879734008106,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
-0.6124778389806191,-0.2624249091232671,-0.5195228980177194,-1.4,0.24491622303724883,-0.35316915326536946,-0.38136879734008106,CNCC(C1=CC(=C(C=C1)O)O)O
-0.5208272571422978,0.017232905693254617,-0.4558181708050352,-4.6,0.24491622303724883,-0.10442770802260426,-0.20151117104193222,C1=C(NC=N1)CC(COP(=O)(O)O)N
-0.742986335490313,-0.3979113038790975,-0.5575555709805161,-2.3,-0.16425825101620534,-0.47753987588675206,-0.5612264236382299,C1CCNC(C1)C(=O)O
-0.5566905282964235,-0.17441665270067638,-0.5233261653139991,1.7,-0.3688454880429324,-0.35316915326536946,-0.20151117104193222,C1CSSC1CCCCC(=O)O
-0.8036037163636165,-0.2514238770704433,-0.5869358108442764,-0.8,-0.16425825101620534,-0.35316915326536946,-0.4712976104891555,C(C(=O)O)C(=O)O
0.16323143339010043,0.8741554024395323,-0.0564751046956712,-6.9,1.6770268822243384,1.1392795181912216,-0.02165354474378335,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
-0.6924396509612996,-0.017507195526189075,-0.5385392344991178,-1.9,0.24491622303724883,-0.10442770802260426,-0.38136879734008106,C(C(C(=O)O)O)(C(=O)O)O
-0.9387249299039083,-0.6775691186956192,-0.6640470552763464,0.5,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CS
-0.8808848393893419,-0.48591956030168815,-0.6127980284589781,-0.4,-0.5734327250696595,-0.6019105985081347,-0.5612264236382299,CC(=O)C=O
-0.9775297138032009,-0.5664007947933994,-0.6640470552763464,-0.5,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CO
-0.619819545668063,0.017232905693254617,-0.5670637392212152,-3.7,0.654090697090703,-0.10442770802260426,-0.6511552367873044,C1(C(C(C(C(C1O)O)O)O)O)O
-0.49394791653991266,-0.37011922290354254,-0.4092281464256094,0.8,-0.16425825101620534,-0.6019105985081347,-0.29143998419100664,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
-0.5206823550366245,0.005652871953440052,-0.44250673526805645,-1.7,0.4495034600639759,-0.10442770802260426,-0.4712976104891555,CC(=O)NC1C(C(C(OC1O)CO)O)O
-0.7284961249229894,-0.5148696446512245,-0.5556539373323762,1.2,-0.3688454880429324,-0.7262813211295173,-0.5612264236382299,CC(=O)NC1=CC=CC=C1
-0.30801436461020626,0.3414738504080624,-0.2827695088243108,-3.5,0.8586779341174301,0.2686844598415436,-0.20151117104193222,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O
